case_id,finding_id,severity,rule_id,message,impact,remediation
data_contract,DATA-001,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('PAY-00020',) at CSV row 22",Data contract issue in payments.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-002,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000396',) at CSV row 398",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-003,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000402',) at CSV row 405",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-004,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000408',) at CSV row 412",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-005,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000414',) at CSV row 419",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-006,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000420',) at CSV row 426",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-007,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000426',) at CSV row 433",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-008,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000432',) at CSV row 440",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-009,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000438',) at CSV row 447",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
data_contract,DATA-010,warning,DUPLICATE_PRIMARY_KEY,"Duplicate key ('EVT-000444',) at CSV row 454",Data contract issue in qa_events.csv.,Correct the source contract or quarantine the affected row before decision use.
supply_chain,SC-001,info,CASE_FINDING,"Segmentation is descriptive, not causal",Clusters summarize operating patterns. They do not prove that any policy will cause better performance.,Preserve the limitation in the decision record.
supply_chain,SC-002,warning,CASE_FINDING,Scale and risk should be reviewed together,High-volume relationships deserve concentration and continuity review even when service metrics are strong.,Preserve the limitation in the decision record.
accounting,AC-001,high,DUPLICATE_PAYMENT_EVENT,Duplicate payment identifiers detected: PAY-00020,Raw payment sums would overstate cash collection unless payment events are deduplicated.,Enforce payment_id uniqueness before aggregation and retain a rejected-row audit table.
accounting,AC-002,high,ORPHAN_PAYMENT,1 payment event(s) do not match a known invoice.,Unmatched cash cannot be safely assigned to revenue or receivables.,Route unmatched payments to suspense and investigate the source-system key.
accounting,AC-003,high,ORPHAN_RETURN,1 return event(s) do not match a known order line.,Return allowances and inventory movement would be incomplete.,Reject or quarantine unmatched returns until line-level identity is restored.
accounting,AC-004,critical,JOIN_EXPLOSION,A naive line-to-payment join overstates gross revenue by 11493.50 USD (11.97%).,Many-to-many joins multiply line revenue when an invoice has multiple payments.,"Aggregate lines, payments, and returns to their intended grain before joining at order_id."
experiment,EX-001,critical,SIMPSONS_PARADOX,The aggregate treatment effect has the opposite sign from every segment-level effect.,A pooled rollout decision would confound treatment performance with a large change in traffic mix.,Use blocked randomization or a pre-specified post-stratified estimand and run a confirmatory experiment.
experiment,EX-002,high,SEGMENT_IMBALANCE,Variant segment-distribution distance is 0.444.,Treatment and control do not represent the same mix of pre-treatment segments.,Balance assignment within segment and monitor allocation at ingestion time.
quality,QA-001,critical,DUPLICATE_EVENT_ID,9 duplicated event identifier(s) were emitted.,Event-level failure rates and incident counts are inflated unless event_id is deduplicated.,Make event_id idempotent at the producer and deduplicate before metric aggregation.
quality,QA-002,critical,DENOMINATOR_SHIFT,Naive event failure-rate change is +5.303%; workflow-level final failure-rate change is +0.000%.,Retries and duplicate instrumentation make the event denominator incomparable across periods.,Use unique workflow as the customer-outcome grain; report retry burden separately.
quality,QA-003,medium,ROOT_CAUSE_CONCENTRATION,The largest failure-event concentration is partner / partner_timeout (16 events).,A broad business-quality narrative would hide a concentrated source-system reliability issue.,"Separate first-pass reliability, recovery, and customer-impact metrics by source system."
